temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 19, Sec: 05
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 19, Sec: 57
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 20, Sec: 53
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 21, Sec: 49
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 27, Sec: 15
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 28, Sec: 11
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 29, Sec: 08
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 30, Sec: 04
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 31, Sec: 00
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 35, Sec: 15
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 35, Sec: 52
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 36, Sec: 44
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 46, Sec: 18
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 18, Min: 50, Sec: 56
temperature: 21, humidity: 45, moisture: 5, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 00, Sec: 35
temperature: 21, humidity: 46, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 03, Sec: 40
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 05, Sec: 43
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 09, Sec: 19
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 18, Sec: 56
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 19, Sec: 23
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 19, Sec: 49
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 20, Sec: 16
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 20, Sec: 42
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 21, Sec: 09
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 21, Sec: 35
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 22, Sec: 02
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 22, Sec: 28
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 24, Sec: 14
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 24, Sec: 41
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 25, Sec: 07
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 25, Sec: 34
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 26, Sec: 00
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 26, Sec: 27
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 26, Sec: 54
temperature: 21, humidity: 45, moisture: 6, water: 0, Year: 2018, Month: 12, Day: 05, Hour: 19, Min: 27, Sec: 20
